# timestamps [seconds],pts
753232.259710,1584119
753232.280368,1585472
753232.302948,1586952
753232.314472,1587707
753232.335078,1589058
753232.354851,1590354
753232.366802,1591137
753232.383143,1592208
753232.398444,1593211
753232.418311,1594513
753232.434610,1595581
753232.454148,1596861
753232.475150,1598237
753232.499071,1599805
753232.518520,1601080
753232.534695,1602140
753232.554892,1603463
753232.580088,1605115
753232.604086,1606687
753232.618522,1607633
753232.639808,1609028
753232.650554,1609733
753232.668372,1610900
753232.691805,1612436
753232.712018,1613761
753232.720844,1614339
753232.734428,1615229
753232.752274,1616399
753232.779244,1618166
753232.799953,1619523
753232.808949,1620113
753232.826787,1621282
753232.837341,1621974
753232.851597,1622908
753232.870349,1624137
753232.892276,1625574
753232.912157,1626877
753232.921768,1627507
753232.938140,1628580
753232.954876,1629676
753232.975789,1631047
753232.997110,1632444
753233.017108,1633755
753233.039987,1635254
753233.095607,1638899
753233.137000,1641612
753233.163631,1643357
753233.187085,1644894
753233.208754,1646314
753233.233574,1647941
753233.256185,1649423
753233.283017,1651181
753233.308938,1652880
753233.331234,1654341
753233.354010,1655834
753233.377200,1657353
753233.401506,1658946
753233.428769,1660733
753233.452649,1662298
753233.473892,1663690
753233.495688,1665118
753233.518028,1666582
753233.540399,1668049
753233.563068,1669534
753233.583621,1670881
753233.604541,1672252
753233.629528,1673890
753233.653507,1675461
753233.675812,1676923
753233.699511,1678476
753233.719756,1679803
753233.743862,1681382
753233.768298,1682984
753233.792864,1684594
753233.815436,1686073
753233.836028,1687423
753233.862634,1689166
753233.887136,1690772
753233.912565,1692438
753233.933811,1693831
753233.955991,1695284
753233.980698,1696904
753234.003627,1698406
753234.025843,1699862
753234.047307,1701269
753234.072014,1702888
753234.092571,1704235
753234.113471,1705605
753234.134693,1706996
753234.156274,1708410
753234.175790,1709689
753234.198807,1711197
753234.222207,1712731
753234.246845,1714345
753234.272973,1716058
753234.293645,1717413
753234.320687,1719185
753234.345081,1720783
753234.374878,1722736
753234.399048,1724320
753234.421906,1725818
753234.471109,1729043
753234.505799,1731316
753234.528971,1732835
753234.552477,1734375
753234.574481,1735817
753234.595288,1737181
753234.616516,1738572
753234.638610,1740020
753234.660642,1741464
753234.686076,1743130
753234.707297,1744521
753234.730962,1746072
753234.755021,1747649
753234.778695,1749200
753234.803187,1750805
753234.827820,1752420
753234.851257,1753956
753234.872358,1755338
753234.895076,1756827
753234.917498,1758297
753234.940466,1759802
753234.965812,1761463
753234.987509,1762885
753235.011758,1764474
753235.035452,1766027
753235.057202,1767452
753235.077695,1768795
753235.097421,1770088
753235.116993,1771371
753235.134857,1772541
753235.155523,1773896
753235.172734,1775024
753235.195930,1776544
753235.214925,1777789
753235.236256,1779187
753235.259207,1780691
753235.281839,1782174
753235.303537,1783596
753235.325874,1785060
753235.348876,1786567
753235.372023,1788084
753235.393956,1789521
753235.416814,1791019
753235.436933,1792338
753235.458340,1793741
753235.480873,1795218
753235.503517,1796701
753235.527322,1798262
753235.551820,1799867
753235.576171,1801463
753235.598361,1802917
753235.620294,1804354
753235.640288,1805665
753235.661458,1807052
753235.686932,1808722
753235.706818,1810025
753235.727676,1811392
753235.748871,1812781
753235.772582,1814335
753235.827263,1817918
753235.857876,1819924
753235.879471,1821340
753235.900956,1822748
753235.929418,1824613
753235.951924,1826088
753235.974787,1827586
753235.999172,1829184
753236.022049,1830683
753236.047253,1832335
753236.068999,1833760
753236.090207,1835150
753236.111973,1836577
753236.135467,1838116
753236.156664,1839505
753236.176592,1840811
753236.196734,1842131
753236.220084,1843662
753236.239638,1844943
753236.259480,1846244
753236.280297,1847608
753236.300390,1848925
753236.322171,1850352
753236.345821,1851902
753236.369619,1853461
753236.393437,1855022
753236.415294,1856455
753236.439035,1858011
753236.461976,1859514
753236.483489,1860924
753236.505743,1862382
753236.527965,1863839
753236.549952,1865280
753236.573259,1866807
753236.597286,1868382
753236.619285,1869823
753236.646127,1871582
753236.667281,1872969
753236.689258,1874409
753236.714872,1876088
753236.735459,1877437
753236.758152,1878924
753236.781195,1880434
753236.804948,1881991
753236.828108,1883509
753236.852722,1885122
753236.878082,1886784
753236.900675,1888264
753236.923134,1889736
753236.947296,1891320
753236.971166,1892884
753236.996476,1894543
753237.021190,1896162
753237.046422,1897816
753237.069232,1899311
753237.092637,1900844
753237.116180,1902387
753237.140179,1903960
753237.165524,1905621
753237.189795,1907212
753237.211176,1908613
753237.233165,1910054
753237.256761,1911600
753237.269637,1912444
753237.274979,1912794
753237.294649,1914083
753237.310843,1915145
753237.331363,1916489
753237.355245,1918054
753237.376091,1919421
753237.401879,1921111
753237.414431,1921933
753237.431949,1923081
